frame,pen-position-x,pen-position-y
1141,1041,151
1142,1043,132
1143,1044,129
1144,1048,130
1145,1044,129
1146,1047,139
1147,1048,136
1148,1052,137
1149,1052,128
1150,1056,130
1151,1056,130
1152,1059,139
1153,1059,146
1154,1065,138
1155,1067,132
1156,1067,132
1157,1067,143
1158,1068,146
1159,1080,140
1160,1077,137
1161,1086,132
1162,1084,135
1163,1088,131
1164,1079,127
1165,1079,138
1166,1084,138
1167,1087,129
1168,1088,132
1169,1090,138
1170,1095,140
1171,1098,143
1172,1098,149
1173,1090,154
1174,1078,146
1175,1064,133
1176,1052,118
1177,1057,120
1178,1048,110
1179,1058,119
1180,1058,119
1181,1083,111
1182,1092,110
1183,1110,114
1184,1134,119
1185,1127,125
1186,1137,121
1187,1127,129
1188,1127,129
1189,1127,129
1190,1131,120
1191,1132,122
1192,1105,124
1193,1102,126
1194,1095,117
1195,1090,123
1196,1104,127
1197,1100,126
1198,1097,127
1199,1075,126
1200,1087,125
1201,1066,124
1202,1021,116
1203,1021,116
1204,1021,116
1205,1021,116
1206,1021,116
1207,1021,116
1208,1021,116
1209,1021,116
1210,1021,116
1211,1021,116
1212,1021,116
1213,1021,116
1214,1021,116
1215,1021,116
1216,1021,116
1217,1021,116
1218,1021,116
1219,1021,116
1220,1021,116
1221,1021,116
1222,1021,116
1223,1021,116
1224,1021,116
1225,1021,116
1226,1021,116
1227,1021,116
1228,1021,116
1229,1021,116
1230,1021,116
1231,1021,116
1232,1021,116
1233,1021,116
1234,1021,116
1235,1021,116
1236,1021,116
1237,1022,17
1238,1026,11
1239,1025,19
1240,1067,30
1241,1071,39
1242,1075,57
1243,1074,67
1244,1068,114
1245,1067,115
1246,1121,124
1247,1133,126
1248,1148,130
1249,1151,132
1250,1123,145
1251,1120,145
1252,1116,144
1253,1128,141
1254,1123,147
1255,1119,139
1256,1121,138
1257,1125,138
1258,1119,138
1259,1146,125
1260,1140,113
1261,1130,118
1262,1125,121
1263,1118,129
1264,1128,124
1265,1129,136
1266,1124,128
1267,1119,128
1268,1119,128
1269,1124,130
1270,1133,126
1271,1135,132
1272,1125,122
1273,1121,123
1274,1118,126
1275,1118,133
1276,1121,131
1277,1127,130
1278,1131,116
1279,1121,122
1280,1121,122
1281,1121,122
1282,1121,122
1283,1121,122
1284,1121,122
1285,1125,133
1286,1124,141
1287,1126,136
1288,1143,130
1289,1143,129
1290,1155,126
1291,1142,126
1292,1152,135
1293,1155,125
1294,1155,123
1295,1141,127
1296,1142,137
1297,1152,135
1298,1147,131
1299,1150,117
1300,1148,132
1301,1155,128
1302,1155,128
1303,1164,132
1304,1161,120
1305,1161,114
1306,1161,111
1307,1165,124
1308,1165,125
1309,1172,132
1310,1170,120
1311,1172,117
1312,1172,119
1313,1180,120
1314,1177,121
1315,1183,128
1316,1182,124
1317,1186,114
1318,1196,118
1319,1189,121
1320,1198,126
1321,1201,123
1322,1198,121
1323,1198,128
1324,1198,128
1325,1212,120
1326,1208,111
1327,1213,116
1328,1203,112
1329,1202,131
1330,1209,126
1331,1222,121
1332,1229,107
1333,1233,112
1334,1222,111
1335,1217,106
1336,1225,120
1337,1224,122
1338,1223,126
1339,1215,128
1340,1205,124
1341,1199,120
1342,1096,125
1343,1096,125
1344,914,161
1345,883,165
1346,880,166
1347,895,158
1348,908,148
1349,904,151
1350,906,151
1351,889,154
1352,886,155
1353,882,156
1354,891,152
1355,889,144
1356,889,161
1357,889,142
1358,889,142
1359,893,155
1360,901,166
1361,910,177
1362,911,181
1363,914,170
1364,919,184
1365,918,178
1366,917,159
1367,917,159
1368,921,172
1369,927,179
1370,931,191
1371,926,186
1372,908,190
1373,914,198
1374,926,184
1375,946,181
1376,955,186
1377,952,191
1378,947,203
1379,946,203
1380,947,202
1381,947,202
1382,948,188
1383,947,197
1384,948,198
1385,951,194
1386,951,189
1387,951,184
1388,961,191
1389,959,198
1390,959,199
1391,965,207
1392,962,209
1393,965,190
1394,972,191
1395,970,194
1396,973,199
1397,985,201
1398,986,197
1399,986,190
1400,988,196
1401,981,193
1402,977,197
1403,979,204
1404,986,197
1405,988,191
1406,988,191
1407,987,187
1408,996,201
1409,1002,198
1410,1004,192
1411,1012,193
1412,1017,193
1413,1013,190
1414,1016,194
1415,1003,192
1416,999,187
1417,997,173
1418,997,170
1419,999,183
1420,1004,192
1421,1007,206
1422,1006,204
1423,1012,192
1424,1015,178
1425,1020,188
1426,1013,188
1427,1005,188
1428,1012,198
1429,1025,198
1430,1021,196
1431,1024,182
1432,1024,178
1433,1023,179
1434,1026,199
1435,1035,195
1436,1030,193
1437,1034,183
1438,1033,191
1439,1033,183
1440,1046,192
1441,1049,188
1442,1047,187
1443,1048,176
1444,1049,189
1445,1055,195
1446,1056,192
1447,1066,185
1448,1064,176
1449,1072,184
1450,1063,179
1451,1063,194
1452,1067,210
1453,1073,206
1454,1058,204
1455,1044,192
1456,1027,180
1457,1017,172
1458,1015,176
1459,1026,177
1460,1080,183
1461,1096,185
1462,1090,183
1463,1095,179
1464,1100,189
1465,1092,192
1466,1089,175
1467,1090,188
1468,1089,186
1469,1089,186
1470,1091,199
1471,1093,185
1472,1104,183
1473,1109,184
1474,1110,186
1475,1110,188
1476,1110,185
1477,1110,185
1478,1113,188
1479,1111,186
1480,1118,183
1481,1123,183
1482,1114,181
1483,1112,194
1484,1118,190
1485,1136,190
1486,1131,186
1487,1133,181
1488,1141,180
1489,1138,180
1490,1127,182
1491,1129,191
1492,1135,188
1493,1149,186
1494,1149,186
1495,1153,187
1496,1143,197
1497,1154,189
1498,1158,189
1499,1158,186
1500,1155,197
1501,1156,184
1502,1159,190
1503,1160,192
1504,1150,181
1505,1149,198
1506,1150,196
1507,1159,186
1508,1152,197
1509,1152,197
1510,1159,187
1511,1144,184
1512,1134,178
1513,1089,172
1514,1031,179
1515,974,177
1516,876,177
1517,867,167
1518,863,150
1519,876,140
1520,883,128
1521,879,145
1522,857,184
1523,868,186
1524,879,189
1525,911,189
1526,921,187
1527,912,187
1528,887,192
1529,876,197
1530,875,199
1531,892,187
1532,893,169
1533,883,171
1534,881,173
1535,884,174
1536,877,172
1537,874,172
1538,884,166
1539,878,171
1540,884,165
1541,873,165
1542,874,169
1543,864,168
1544,864,168
1545,872,179
1546,872,178
1547,876,163
1548,873,176
1549,873,175
1550,873,175
1551,873,175
1552,873,175
1553,873,175
1554,873,161
1555,878,180
1556,884,193
1557,891,207
1558,901,222
1559,909,236
1560,917,254
1561,916,260
1562,916,255
1563,916,248
1564,921,239
1565,923,228
1566,928,239
1567,928,239
1568,922,229
1569,926,251
1570,926,258
1571,916,258
1572,923,257
1573,915,261
1574,953,241
1575,953,241
1576,999,253
1577,983,260
1578,976,260
1579,967,264
1580,965,252
1581,963,253
1582,966,249
1583,963,249
1584,954,256
1585,964,247
1586,965,247
1587,959,253
1588,962,259
1589,962,265
1590,963,258
1591,965,252
1592,950,254
1593,947,268
1594,954,265
1595,965,266
1596,970,262
1597,971,265
1598,971,265
1599,978,264
1600,981,268
1601,980,274
1602,980,267
1603,979,258
1604,986,257
1605,1004,255
1606,995,256
1607,1006,252
1608,996,252
1609,997,267
1610,1014,263
1611,1015,260
1612,1020,264
1613,1026,253
1614,1012,255
1615,1009,269
1616,1020,261
1617,1021,254
1618,1019,261
1619,1022,264
1620,1031,262
1621,1032,257
1622,1037,239
1623,1035,241
1624,1035,241
1625,1034,230
1626,1039,248
1627,1042,247
1628,1044,259
1629,1029,246
1630,1039,248
1631,1038,246
1632,1054,244
1633,1056,246
1634,1055,251
1635,1061,247
1636,1054,237
1637,1055,258
1638,1060,260
1639,1068,258
1640,1060,261
1641,1063,257
1642,1063,257
1643,1063,257
1644,1063,257
1645,1063,257
1646,1065,239
1647,1065,239
1648,1068,244
1649,1066,238
1650,1071,250
1651,1065,234
1652,1065,234
1653,1065,236
1654,1069,255
1655,1075,257
1656,1074,247
1657,1074,241
1658,1077,241
1659,1071,245
1660,1085,242
1661,1085,242
1662,1081,236
1663,1083,257
1664,1094,252
1665,1093,242
1666,1094,237
1667,1096,217
1668,1096,235
1669,1096,225
1670,1097,236
1671,1092,241
1672,1098,252
1673,1096,242
1674,1108,239
1675,1110,244
1676,1110,244
1677,1122,245
1678,1120,242
1679,1130,237
1680,1127,248
1681,1126,250
1682,1133,259
1683,1119,255
1684,1106,244
1685,1093,234
1686,1077,231
1687,1086,231
1688,1086,231
1689,1079,229
1690,1067,228
1691,1056,229
1692,1058,230
1693,1058,233
1694,1059,233
1695,1059,233
1696,1059,233
1697,1059,233
1698,1040,230
1699,1008,227
1700,1006,226
1701,1006,226
1702,1006,226
1703,1006,226
1704,1006,226
1705,1006,226
1706,1006,226
1707,1006,226
1708,1006,226
1709,1006,226
1710,1006,226
1711,1006,226
1712,1006,226
1713,1006,226
1714,1006,226
1715,1006,226
1716,1006,226
1717,1006,226
1718,1006,226
1719,1006,226
1720,1006,226
1721,1006,226
1722,1006,226
1723,1006,226
1724,1006,226
1725,1006,226
1726,1006,226
1727,1006,226
1728,1006,226
1729,1006,226
1730,1006,226
1731,1006,226
1732,1006,226
1733,1006,226
1734,1006,226
1735,1006,226
1736,1006,226
1737,1006,226
1738,1006,226
1739,1006,226
1740,1006,226
1741,1006,226
1742,1006,226
1743,1006,226
1744,1006,226
1745,1006,226
1746,1006,226
1747,1006,226
1748,1006,226
1749,1006,226
1750,1006,226
1751,1006,226
1752,1006,226
1753,1006,226
1754,1006,226
1755,1006,226
1756,1006,226
1757,1006,226
1758,1006,226
1759,1006,226
1760,1006,226
1761,1006,226
1762,1006,226
1763,1006,226
1764,1006,226
1765,1006,226
1766,1006,226
1767,1006,226
1768,1006,226
1769,1006,226
1770,1006,226
1771,1006,226
1772,1006,226
1773,1006,226
1774,1006,226
1775,1006,226
1776,1006,226
1777,1006,226
1778,1006,226
1779,1006,226
1780,1006,226
1781,1006,226
1782,1006,226
1783,1006,226
1784,1006,226
1785,1006,226
1786,1006,226
1787,1006,226
1788,1006,226
1789,1006,226
1790,1006,226
1791,1006,226
1792,1006,226
1793,1006,226
1794,1006,226
1795,1006,226
1796,1006,226
1797,1006,226
1798,1006,226
1799,1006,226
1800,1006,226
1801,1006,226
1802,1006,226
1803,1006,226
1804,1006,226
1805,1006,226
1806,1006,226
1807,1006,226
1808,1006,226
1809,1006,226
1810,1006,226
1811,1006,226
1812,1006,226
1813,1006,226
1814,1006,226
1815,1006,226
1816,1006,226
1817,1006,226
1818,1006,226
1819,1006,226
1820,1006,226
1821,1006,226
1822,1006,226
1823,1006,226
1824,1006,226
1825,1006,226
1826,1006,226
1827,1006,226
1828,1006,226
1829,1006,226
1830,1006,226
1831,1006,226
1832,1006,226
1833,1006,226
1834,1006,226
1835,1006,226
1836,1006,226
1837,1006,226
1838,1006,226
1839,1002,226
1840,1066,23
1841,1053,39
1842,1044,60
1843,1041,73
1844,1042,111
1845,1045,120
1846,1045,131
1847,1053,137
1848,1066,137
1849,1058,144
1850,1005,157
1851,996,157
1852,978,156
1853,971,149
1854,977,138
1855,984,94
1856,981,85
1857,978,66
1858,981,61
1859,986,56
1860,990,49
1861,978,52
1862,992,48
1863,992,48
1864,983,49
1865,980,47
1866,992,39
1867,988,39
1868,970,49
1869,980,43
1870,973,42
1871,949,48
1872,957,52
1873,945,50
1874,939,51
1875,939,51
1876,939,51
1877,945,61
1878,945,61
1879,945,62
1880,945,62
1881,934,54
1882,930,56
1883,888,60
1884,878,62
1885,856,65
1886,831,69
1887,826,71
1888,821,73
1889,822,74
1890,813,76
1891,770,81
1892,770,81
1893,766,85
1894,766,85
1895,766,85
1896,773,85
1897,778,70
1898,777,62
1899,776,61
1900,785,71
1901,786,71
1902,788,71
1903,804,70
1904,807,70
1905,833,70
1906,848,70
1907,895,67
1908,892,67
1909,923,63
1910,928,60
1911,943,56
1912,943,54
1913,950,56
1914,963,52
1915,967,51
1916,969,47
1917,969,47
1918,954,50
1919,954,50
1920,954,50
1921,954,50
1922,954,50
1923,954,50
1924,865,77
1925,855,80
1926,839,89
1927,837,91
1928,838,94
1929,832,94
1930,814,97
1931,796,102
1932,800,114
1933,793,106
1934,781,111
1935,779,112
1936,774,121
1937,774,121
1938,764,120
1939,773,122
1940,772,122
1941,772,120
1942,772,116
1943,772,110
1944,772,105
1945,771,100
1946,773,96
1947,774,98
1948,774,94
1949,774,94
1950,774,94
1951,774,94
1952,774,94
1953,771,93
1954,771,93
1955,771,93
1956,771,93
1957,765,87
1958,781,76
1959,789,84
1960,784,81
1961,784,81
1962,787,77
1963,782,80
1964,779,77
1965,797,67
1966,788,70
1967,791,69
1968,797,69
1969,799,65
1970,802,64
1971,823,65
1972,829,65
1973,815,64
1974,836,65
1975,842,65
1976,829,65
1977,836,65
1978,870,65
1979,876,65
1980,879,69
1981,873,69
1982,879,71
1983,900,74
1984,907,76
1985,918,78
1986,943,79
1987,951,79
1988,984,79
1989,985,78
1990,990,68
1991,987,74
1992,998,73
1993,983,74
1994,996,68
1995,994,63
1996,999,73
1997,989,67
1998,992,75
1999,991,73
2000,991,71
2001,991,66
2002,994,50
2003,993,64
2004,992,44
2005,992,44
2006,1001,53
2007,1001,53
2008,1001,53
2009,1001,53
2010,1001,53
2011,1001,53
2012,1001,53
2013,1003,53
2014,1005,53
2015,1006,53
2016,1006,53
2017,1006,53
2018,992,59
2019,987,63
2020,976,79
2021,964,90
2022,954,105
2023,954,123
2024,953,115
2025,956,126
2026,952,127
2027,936,133
2028,937,137
2029,938,142
